,start,labels
0,0,4
1,182,17
2,364,19
3,546,6
4,728,17
5,910,3
6,1092,3
7,1274,12
8,1456,12
9,1638,5
10,1820,8
11,2002,10
12,2184,7
13,2366,10
14,2548,10
15,2730,1
16,2912,15
17,3094,5
18,3276,9
19,3458,11
20,3640,19
21,3822,10
22,4004,17
23,4186,19
24,4368,19
25,4550,2
26,4732,16
27,4914,1
28,5096,16
29,5278,17
30,5460,11
31,5642,20
32,5824,1
33,6006,1
34,6188,5
35,6370,4
36,6552,6
37,6734,17
38,6916,8
39,7098,3
40,7280,13
41,7462,13
42,7644,8
43,7826,16
44,8008,20
45,8190,11
46,8372,20
47,8554,14
48,8736,20
49,8918,1
50,9100,8
51,9282,13
52,9464,5
53,9646,15
54,9828,13
55,10010,17
56,10192,4
57,10374,8
58,10556,10
59,10738,10
60,10920,2
61,11102,10
62,11284,8
63,11466,11
64,11648,1
65,11830,12
66,12012,2
67,12194,17
68,12376,13
69,12558,9
70,12740,11
71,12922,8
72,13104,20
73,13286,1
74,13468,17
75,13650,19
76,13832,15
77,14014,14
78,14196,3
79,14378,15
80,14560,18
81,14742,10
82,14924,1
83,15106,4
84,15288,5
85,15470,19
86,15652,5
87,15834,5
88,16016,13
89,16198,7
90,16380,10
91,16562,4
92,16744,19
93,16926,20
94,17108,2
95,17290,4
96,17472,6
97,17654,16
98,17836,19
99,18018,15
100,18200,3
101,18382,16
102,18564,2
103,18746,20
104,18928,18
105,19110,20
106,19292,11
107,19474,13
108,19656,13
109,19838,18
110,20020,18
111,20202,1
112,20384,3
113,20566,9
114,20748,7
115,20930,9
116,21112,8
117,21294,4
118,21476,5
119,21658,10
120,21840,10
121,22022,5
122,22204,5
123,22386,16
124,22568,15
125,22750,17
126,22932,19
127,23114,8
128,23296,4
129,23478,13
130,23660,3
131,23842,7
132,24024,3
133,24206,15
134,24388,3
135,24570,14
136,24752,14
137,24934,13
138,25116,19
139,25298,10
140,25480,11
141,25662,11
142,25844,4
143,26026,5
144,26208,4
145,26390,4
146,26572,16
147,26754,1
148,26936,19
149,27118,18
150,27300,18
151,27482,17
152,27664,3
153,27846,10
154,28028,2
155,28210,20
156,28392,15
157,28574,8
158,28756,9
159,28938,8
160,29120,11
161,29302,3
162,29484,2
163,29666,3
164,29848,1
165,30030,20
166,30212,7
167,30394,9
168,30576,3
169,30758,3
170,30940,16
171,31122,20
172,31304,6
173,31486,6
174,31668,1
175,31850,9
176,32032,20
177,32214,15
178,32396,17
179,32578,13
180,32760,15
181,32942,10
182,33124,11
183,33306,16
184,33488,14
185,33670,8
186,33852,20
187,34034,12
188,34216,14
189,34398,8
190,34580,4
191,34762,3
192,34944,18
193,35126,19
194,35308,4
195,35490,20
196,35672,1
197,35854,7
198,36036,14
199,36218,11
200,36400,13
201,36582,4
202,36764,8
203,36946,8
204,37128,7
205,37310,7
206,37492,17
207,37674,18
208,37856,15
209,38038,15
210,38220,1
211,38402,2
212,38584,19
213,38766,2
214,38948,20
215,39130,5
216,39312,8
217,39494,8
218,39676,17
219,39858,5
220,40040,16
221,40222,20
222,40404,2
223,40586,8
224,40768,4
225,40950,20
226,41132,1
227,41314,16
228,41496,10
229,41678,7
230,41860,10
231,42042,7
232,42224,9
233,42406,8
234,42588,16
235,42770,11
236,42952,5
237,43134,11
238,43316,4
239,43498,9
240,43680,15
241,43862,17
242,44044,9
243,44226,15
244,44408,13
245,44590,11
246,44772,18
247,44954,10
248,45136,18
249,45318,7
250,45500,11
251,45682,15
252,45864,18
253,46046,15
254,46228,14
255,46410,2
256,46592,2
257,46774,6
258,46956,20
259,47138,15
260,47320,16
261,47502,5
262,47684,8
263,47866,8
264,48048,8
265,48230,4
266,48412,2
267,48594,2
268,48776,8
269,48958,4
270,49140,1
271,49322,20
272,49504,4
273,49686,10
274,49868,11
275,50050,19
276,50232,15
277,50414,18
278,50596,11
279,50778,19
280,50960,17
281,51142,3
282,51324,19
283,51506,10
284,51688,20
285,51870,17
286,52052,14
287,52234,14
288,52416,6
289,52598,15
290,52780,5
291,52962,4
292,53144,2
293,53326,13
294,53508,5
295,53690,12
296,53872,7
297,54054,3
298,54236,3
299,54418,4
300,54600,15
301,54782,17
302,54964,13
303,55146,19
304,55328,10
305,55510,5
306,55692,3
307,55874,13
308,56056,18
309,56238,20
310,56420,7
311,56602,13
312,56784,14
313,56966,8
314,57148,18
315,57330,14
316,57512,12
317,57694,4
318,57876,15
319,58058,16
320,58240,2
321,58422,18
322,58604,9
323,58786,15
324,58968,1
325,59150,14
326,59332,9
327,59514,15
328,59696,10
329,59878,9
330,60060,1
331,60242,7
332,60424,14
333,60606,16
334,60788,7
335,60970,19
336,61152,19
337,61334,10
338,61516,5
339,61698,6
340,61880,6
341,62062,17
342,62244,10
343,62426,14
344,62608,5
345,62790,14
346,62972,4
347,63154,19
348,63336,7
349,63518,8
350,63700,4
351,63882,11
352,64064,12
353,64246,6
354,64428,19
355,64610,1
356,64792,9
357,64974,1
358,65156,19
359,65338,4
360,65520,4
361,65702,13
362,65884,7
363,66066,7
364,66248,8
365,66430,1
366,66612,18
367,66794,5
368,66976,12
369,67158,5
370,67340,17
371,67522,1
372,67704,20
373,67886,17
374,68068,20
375,68250,18
376,68432,15
377,68614,11
378,68796,4
379,68978,8
380,69160,2
381,69342,11
382,69524,13
383,69706,7
384,69888,9
385,70070,10
386,70252,8
387,70434,15
388,70616,5
389,70798,20
390,70980,5
391,71162,19
392,71344,9
393,71526,7
394,71708,20
395,71890,1
396,72072,5
397,72254,12
398,72436,15
399,72618,8
400,72800,8
401,72982,14
402,73164,17
403,73346,4
404,73528,12
405,73710,2
406,73892,3
407,74074,14
408,74256,19
409,74438,9
410,74620,7
411,74802,3
412,74984,3
413,75166,15
414,75348,13
415,75530,19
416,75712,18
417,75894,18
418,76076,10
419,76258,19
420,76440,20
421,76622,3
422,76804,7
423,76986,20
424,77168,8
425,77350,4
426,77532,3
427,77714,15
428,77896,20
429,78078,9
430,78260,7
431,78442,1
432,78624,1
433,78806,12
434,78988,6
435,79170,9
436,79352,1
437,79534,13
438,79716,12
439,79898,15
440,80080,19
441,80262,2
442,80444,12
443,80626,20
444,80808,11
445,80990,15
446,81172,13
447,81354,1
448,81536,6
449,81718,9
450,81900,14
451,82082,5
452,82264,2
453,82446,7
454,82628,10
455,82810,8
456,82992,6
457,83174,20
458,83356,6
459,83538,3
460,83720,20
461,83902,3
462,84084,6
463,84266,20
464,84448,20
465,84630,20
466,84812,8
467,84994,11
468,85176,1
469,85358,16
470,85540,13
471,85722,12
472,85904,18
473,86086,4
474,86268,14
475,86450,8
476,86632,1
477,86814,9
478,86996,11
479,87178,12
480,87360,2
481,87542,2
482,87724,6
483,87906,5
484,88088,13
485,88270,6
486,88452,11
487,88634,15
488,88816,3
489,88998,2
490,89180,7
491,89362,12
492,89544,19
493,89726,3
494,89908,16
495,90090,14
496,90272,3
497,90454,3
498,90636,9
499,90818,18
500,91000,4
501,91182,16
502,91364,15
503,91546,9
504,91728,1
505,91910,6
506,92092,8
507,92274,8
508,92456,20
509,92638,20
