-3.424673175215279808e-01 8.201035442345758208e-02 1.215682468472995659e+00
-3.543157783972181729e-01 9.212604737211989303e-02 1.505598193044392685e+00
-3.720588893824243737e-01 8.436464201158437592e-02 1.701401088914991755e+00
-3.907516907521552674e-01 5.898593107299298505e-02 1.784378547543415960e+00
-4.043227665833653006e-01 2.065818271847782647e-02 1.769352923303974867e+00
-4.088710243527784449e-01 -2.528627758403107981e-02 1.685005117416220832e+00
-4.038296991096301802e-01 -7.550125179433454792e-02 1.561425887960976810e+00
-3.899880957452634411e-01 -1.295332085755331042e-01 1.427201954380109550e+00
-3.668229034157488577e-01 -1.895060983219092332e-01 1.307991316457906672e+00
-3.326340618344343913e-01 -2.589905060649814739e-01 1.221340287520890966e+00
-2.871951442360120565e-01 -3.413757111773938480e-01 1.170613238361853492e+00
-2.330701915684670056e-01 -4.384218229157658686e-01 1.144840912031978464e+00
-1.738306776309365975e-01 -5.497608031976038978e-01 1.125834916722150858e+00
-1.116692195515981423e-01 -6.734549247372187963e-01 1.097122322037543674e+00
-4.727147351609519571e-02 -8.069036980848537377e-01 1.050222164523737289e+00
1.837831510675048616e-02 -9.473175140684397810e-01 9.871943794217806767e-01
8.245269279791318795e-02 -1.091636277628044605e+00 9.178865063520599277e-01
1.404630542040566643e-01 -1.236434977104472255e+00 8.519491215012876539e-01
1.878992908754355817e-01 -1.378304882514194363e+00 7.915365077164936425e-01
2.218372690406029413e-01 -1.514502092621825335e+00 7.312102677137294338e-01
2.413024806208251827e-01 -1.643193878847898359e+00 6.644597555054451155e-01
2.466248962089371000e-01 -1.762989873046919120e+00 5.905861581136554461e-01
2.387548464001362503e-01 -1.872090474622196909e+00 5.165386516211109003e-01
2.190623245648544992e-01 -1.967625431550762860e+00 4.528944246119331329e-01
1.895773041842339912e-01 -2.045563571361411537e+00 4.075121242372952701e-01
1.534146934832142095e-01 -2.101202650810555017e+00 3.812683391079115247e-01
1.147917533005768514e-01 -2.129915954904883169e+00 3.679035803845958075e-01
7.818270259924106624e-02 -2.127801704425607454e+00 3.577654694722684492e-01
4.687630803826223214e-02 -2.092142581033033188e+00 3.436586459851297959e-01
2.200005429180089053e-02 -2.021774958628259622e+00 3.250773416021710549e-01
2.917867412960711837e-03 -1.917380443258759115e+00 3.075981815194384628e-01
-1.126578482785253223e-02 -1.781578457925463654e+00 2.981083698903057022e-01
-2.042572251169658126e-02 -1.618776819008741041e+00 2.995106700568196390e-01
-2.352419096155895437e-02 -1.434951150423654065e+00 3.084684409791882964e-01
-2.003579772144833959e-02 -1.237377604981583223e+00 3.180395571631172702e-01
-1.112256349263119649e-02 -1.034045536930161768e+00 3.232802895972903268e-01
1.079275289654725968e-03 -8.326410492894061877e-01 3.243281047313081311e-01
